#{"t_start": 1780121072.91585, "env_id": "VisionRallyDriving-v0"}
r,l,t
110.366339,31,891.298024
-46.448139,24,893.070656
53.916979,23,894.657789
34.019979,25,896.416642
62.623034,23,898.020249
61.881735,23,899.585573
-119.957912,30,901.626064
-44.799822,23,903.233836
-0.386936,32,905.311507
-44.940142,23,906.899983
-55.994173,25,908.562012
-59.545115,25,910.337188
-21.209247,31,912.491569
747.070796,89,918.37963
5.101779,29,920.448895
-47.860833,24,922.176152
-49.85068,23,923.829064
-79.571034,29,925.822267
43.942252,24,928.515591
647.935431,89,934.573271
56.510111,22,936.053299
52.851376,25,937.728823
58.004561,23,939.294521
49.055448,22,940.861308
-52.526696,25,942.651039
-50.67801,24,944.274469
61.216402,22,945.705147
48.36222,24,947.291417
58.559846,25,949.025538
58.423683,23,950.588655
12.034117,29,952.648914
-55.275851,25,954.400131
52.716331,23,959.495046
63.694954,22,961.045735
59.923834,24,962.795876
65.090153,24,964.532853
-90.741349,26,966.38614
114.644659,31,968.665983
114.1551,29,970.690512
-48.345304,23,972.372834
45.066543,23,973.983741
60.269389,24,976.658711
506.05669,88,982.833243
-53.776657,24,984.546252
55.924281,24,986.280211
-67.894571,26,988.131115
42.192611,25,989.903071
-57-3723.429056,501,998.806471
-60.991868,26,1000.686854
47.72522,24,1002-4006.999664,478,1030.167981
48.726516,23,1031.765122
46.533879,24,1033.475267
61.307906,24,1035.149249
-67.787836,27,1036.910197
46.810036,23,1038.41857
46.84261,24,1040.052216
66.699985,22,1041.590799
-61.718467,24,1043.339538
56.576586,23,1044.941005
67.433242,24,1046.608815
-3999.509867,501,1082.555461
47.673456,25,1084.295932
14.921571,31,1086.469801
-124.700535,31,1088.535697
54.947737,23,1090.088956
52.678599,24,1091.658065
59.475085,22,1093.099261
60.199274,23,1094.661685
0.228378,31,1096.750671
114.122904,30,1098.86694
51.55722,24,1100.557785
66.900651,23,1102.267529
-104.244583,30,1104.426031
-58.926615,24,1106.120184
,24,1068.562333
58.680938,23,1070.206025
-50.859576,23,1071.870461
60.365723,24,1073.590192
53.795741,24,1075.222478
58.343302,23,1076.784679
-70.448067,27,1078.632509
58.909418,22,1080.18567
58.108789,23,1081.766324
-53.113073,23,1083.386639
68.727544,23,1085.003129
59.590117,24,1086.699002
59.15683,23,1088.220036
5.491996,31,1090.29489
-111.862704,30,1092.256062
-47.689956,24,1093.87218
57.702081,23,1095.429036
66.855323,23,1097.02119
-46.276378,24,1098.665806
53.730341,23,1100.27047
58.414859,24,1102.069104
-146.419504,32,1104.381185
,23,1101.660588
-58.898938,24,1103.445015
-103.721824,31,1105.633549
73726
-48.522966,22,1106.010891
65
-87.817732,31,1095.164983
53.432364,24,1096.824807
-56.289286,24,1098.480346
-73.020886,26,1100.328114
36.390465,27,1102.341553
53.681053,25,1104.13466
-62.928644,25,1105.894538
84782
55.384312,25,1085.142719
51.135326,23,1086.752885
-148.12018,32,1088.873235
-999.717402,131,1097.715261
57.045953,24,1099.389764
-64.886197,25,1101.180587
46.267,24,1102.958457
58.206905,23,1104.600617
77
58.256183,26,1075.773867
59.809832,23,1077.297093
49.828711,24,1078.940956
39.349545,24,1080.628295
59.297716,23,1082.220942
57.215017,23,1083.847301
-67.019595,26,1085.690384
-55.29358,25,1087.394255
52.00237,25,1089.026674
29.732902,23,1090.581398
-88.737375,25,1092.196868
68.955068,23,1093.726846
-60.847155,24,1095.351325
63.523293,22,1096.862894
65.787475,23,1098.452402
67.714564,22,1100.001761
58.648809,24,1101.789478
58.521397,24,1103.569914
50.350299,24,1105.289062
